categoria,metrica,media,std,min,max,n
TODAS,faithfulness,0.75,0.256,0.0,1.0,278
TODAS,answer_relevancy,0.773,0.334,0.0,0.989,278
TODAS,context_precision,0.754,0.245,0.0,1.0,278
TODAS,context_recall,0.822,0.347,0.0,1.0,278
ADV,faithfulness,nan,nan,nan,nan,10
ADV,answer_relevancy,nan,nan,nan,nan,10
ADV,context_precision,nan,nan,nan,nan,10
ADV,context_recall,nan,nan,nan,nan,10
COLOQ,faithfulness,0.594,0.163,0.25,0.75,10
COLOQ,answer_relevancy,0.786,0.282,0.0,0.936,10
COLOQ,context_precision,0.606,0.284,0.0,0.989,10
COLOQ,context_recall,0.6,0.516,0.0,1.0,10
COMP,faithfulness,0.472,0.184,0.2,0.75,8
COMP,answer_relevancy,0.0,0.0,0.0,0.0,8
COMP,context_precision,0.61,0.424,0.0,1.0,8
COMP,context_recall,0.5,0.0,0.5,0.5,8
SINT,faithfulness,0.744,0.353,0.143,1.0,12
SINT,answer_relevancy,0.926,0.043,0.82,0.97,12
SINT,context_precision,0.915,0.121,0.594,1.0,12
SINT,context_recall,0.917,0.289,0.0,1.0,12
original,faithfulness,0.774,0.246,0.0,1.0,238
original,answer_relevancy,0.794,0.315,0.0,0.989,238
original,context_precision,0.759,0.227,0.0,1.0,238
original,context_recall,0.84,0.338,0.0,1.0,238
