user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Cuanto cuesta el cielo raso duracustic en Barranquilla?,"['CIELO RASO DURACUSTIC | unidad: m² | precio: $33,183 COP | solo mano de obra: $11,965 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'CIELORRASO DURACUSTIC 2\'X4\'X5/8"" SW | unidad: lm | precio: $22,120 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'A.C.P.M. BARRANQUILLA | unidad: gl | precio: $3,732 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'CIELO RASO ALUZINC ACUSTICO 130B | unidad: m² | precio: $79,386 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Suministro e instalación de cielo raso en asbesto cemento | unidad: m2 | precio: $36,944 COP | región: Barranquilla | fuente: Contrato real ejecutado — redes de acueducto/alcantarillado (Atlántico) | fecha: 2026-08-08', 'CIELORRASO EN TABLILLAS PVC | unidad: m² | precio: $69,342 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'CIELORRASO EN TABLILLAS PVC | unidad: m² | precio: $557,340 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Suministro e instalación de cielo raso en asbesto cemento, incluye molduras. | unidad: m2 | precio: $36,073 COP | región: Puerto Colombia | fuente: Contrato real ejecutado — demoliciones y pavimentos, Puerto Colombia (2016) | fecha: 2026-08-08']","El cielo raso Duracustic en Barranquilla tiene los siguientes precios:

- Cielo raso Duracustic: $33,183 COP por m² (Catálogo Construdata, 2026-08-08).
- Cielorraso Duracustic 2'X4'X5/8"" SW: $22,120 COP por lm (Catálogo Construdata, 2026-08-08).

Si necesitas más detalles o algún otro tipo de cielo raso, házmelo saber.",El cielo raso Duracustic cuesta $33.183 COP por m² en Barranquilla (Catálogo Construdata).,0.75,0.905696630255477,0.99999999995,1.0
Cual es el precio de entrepisos placalista?,"['ENTREPISOS PLACALISTA | unidad: m² | precio: $50,575 COP | solo mano de obra: $7,288 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ENTREPISOS VIGUETA PLACA | unidad: m² | precio: $44,360 COP | solo mano de obra: $11,638 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PLACA LISTA MURO ESTRUCTURAL | unidad: m² | precio: $34,567 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ALISTADO DE PISO 4CM - ENDURECIDO | unidad: m² | precio: $30,031 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'FORMALETA ENTREPISOS | unidad: ms | precio: $4,640 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'FORMALETA ENTREPISOS | unidad: ms | precio: $4,640 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'FORMALETA ENTREPISOS | unidad: ms | precio: $4,640 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'FORMALETA ENTREPISOS | unidad: ms | precio: $4,640 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","El precio de entrepisos placalista es de $50,575 COP por m². Este dato proviene del Catálogo Construdata (Barranquilla) y fue actualizado el 2026-08-08.",Los entrepisos Placalista cuestan $50.575 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.9396879925795464,0.9999999999,1.0
Cuanto vale el relleno con gravilla de rio en Barranquilla?,"['RELLENO GRAVILLA DE RIO | unidad: m³ | precio: $51,557 COP | solo mano de obra: $6,526 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'GRAVILLA DE RIO | unidad: m³ | precio: $0 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'GRAVILLA DE RIO | unidad: m³ | precio: $0 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'GRAVILLA DE RIO | unidad: m³ | precio: $0 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'GRAVILLA DE RIO | unidad: m³ | precio: $0 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'GRAVILLA DE RIO | unidad: m³ | precio: $0 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'GRAVILLA DE RIO | unidad: m³ | precio: $0 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'GRAVILLA DE RIO | unidad: m³ | precio: $0 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","El precio del relleno con gravilla de río en Barranquilla es de $51,557 COP por m³, según el Catálogo Construdata del 8 de agosto de 2026. La mano de obra para este trabajo tiene un costo adicional de $6,526 COP por m³.",El relleno con gravilla de río cuesta $51.557 COP por m³ en Barranquilla (Catálogo Construdata).,1.0,0.9282885878712285,0.62499999996875,1.0
Que precio tiene la pulida y lacada de piso de madera?,"['PULIDA LACADA PISO MADERA | unidad: m² | precio: $35,367 COP | solo mano de obra: $26,680 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'MANO DE OBRA PULIDA / LACADA PISO MADERA | unidad: m² | precio: $26,680 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'LACA PISOS MADERA | unidad: m² | precio: $3,378 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'LACA PISOS MADERA | unidad: m² | precio: $24,948 COP | solo mano de obra: $16,636 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Laca Para Madera — mejor precio real: MANTENIMIENTO Y MONTAJES DE INGENIERIA SAS | unidad: gal | precio: $23,000 COP | región: Bogotá, Distrito Capital De Bogotá | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 65 proveedores mipyme reales de todo el país (rango $23,000–$1,060,016 COP sin IVA)', 'Inmunizante y preservante de madera | precio: $12,823 COP | región: Centro Oriente | fuente: INVIAS — precios de referencia regionalizados | fecha: 2026-08-08', 'Inmunizante y preservante de madera | precio: $12,823 COP | región: Occidental | fuente: INVIAS — precios de referencia regionalizados | fecha: 2026-08-08', 'Inmunizante y preservante de madera | precio: $12,823 COP | región: Norte | fuente: INVIAS — precios de referencia regionalizados | fecha: 2026-08-08']","El precio de la pulida y lacada de piso de madera en Barranquilla es de $35,367 COP por m², según el Catálogo Construdata (Barranquilla) del 2026-08-08. La mano de obra específica para este proceso tiene un costo de $26,680 COP por m², también de la misma fuente y fecha.",La pulida lacada de piso de madera cuesta $35.367 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.9461702432325941,0.7499999999625,1.0
Cuanto cuesta aplicar anticorrosivo sobre lamina llena?,"['ANTICORROSIVO SOBRE LAMINA LLENA | unidad: m² | precio: $10,262 COP | solo mano de obra: $4,128 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ANTICORROSIVO SOBRE LÁMINA LLENA | unidad: m² | precio: $15,364 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ANTICORROSIVO SOBRE LAMINA LINEAL | unidad: m | precio: $5,703 COP | solo mano de obra: $2,377 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ANTICORROSIVO SOBRE LÁMINA LINEAL | unidad: m | precio: $8,664 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Suministro y aplicación de recubrimiento protector epóxico de alta calidad para protección de concreto contra agentes químicos y estructuras en contacto con agua potable tipo  Sikaguard®-62 CO o equivalente 2 capas color gris claro o verde roseda. La aplicación de los productos suministrados deberá realizarse conforme a las especificaciones técnicas proporcionadas por el fabricante/proveedor, quien debe indicar los controles de calidad para la ejecución de los trabajos y certificar al personal encargado de la aplicación. | unidad: m2 | precio: $11,400 COP | región: Barranquilla | fuente: Contrato real ejecutado — planta de tratamiento de agua potable, optimización ETAP (Atlántico) | fecha: 2026-08-09', 'Impermeabilización de paredes internas mediante aplicación de mortero 1:4 impermeabilizado(Sika 1 o equivalente), mezclado con fibra macro sintéticas de polipropileno  tipo SikaFiber AD (o equivalente)  y aditivo acelerante de Fraguado tipo Sikaset L (o equivalente), e= 2 cm. La aplicación de los productos suministrados deberá realizarse conforme a las especificaciones técnicas proporcionadas por el fabricante/proveedor, quien debe indicar los controles de calidad para la ejecución de los trabajos y certificar al personal encargado de la aplicación. | unidad: m2 | precio: $15,500 COP | región: Barranquilla | fuente: Contrato real ejecutado — planta de tratamiento de agua potable, optimización ETAP (Atlántico) | fecha: 2026-08-09', 'Suministro y Aplicación de puente de adherencia de concreto fresco a endurecido tipo Sikadur 32 Primer L o equivalente. La aplicación de los productos suministrados deberá realizarse conforme a las especificaciones técnicas proporcionadas por el fabricante/proveedor, quien debe indicar los controles de calidad para la ejecución de los trabajos y certificar al personal encargado de la aplicación. | unidad: m2 | precio: $12,300 COP | región: Barranquilla | fuente: Contrato real ejecutado — planta de tratamiento de agua potable, optimización ETAP (Atlántico) | fecha: 2026-08-09', 'Limpieza del acero estructural, verificación y cambio del acero que se encuentre afectado por corrosión . Suministro y aplicación de aditivo con Sikatop Armatec 108. para protección del  acero instalado. La aplicación de los productos suministrados deberá realizarse conforme a las especificaciones técnicas proporcionadas por el fabricante/proveedor, quien debe indicar los controles de calidad para la ejecución de los trabajos y certificar al personal encargado de la aplicación. | unidad: kg | precio: $6,000 COP | región: Barranquilla | fuente: Contrato real ejecutado — planta de tratamiento de agua potable, optimización ETAP (Atlántico) | fecha: 2026-08-09']","El precio para aplicar anticorrosivo sobre lámina llena en Barranquilla es el siguiente:

- $10,262 COP por m² (incluye suministro y mano de obra) — Catálogo Construdata, 2026-08-08.
- $15,364 COP por m² (suministro) — Catálogo Construdata, 2026-08-08.

La variabilidad real de mercado indica que el precio puede oscilar entre estos dos valores según el proveedor.",Aplicar anticorrosivo sobre lámina llena cuesta $10.262 COP por m² en Barranquilla (Catálogo Construdata).,0.4,0.0,0.999999999975,1.0
Cual es el precio del tablon liso 33x33?,"['TABLON LISO 33X33 | unidad: m² | precio: $31,616 COP | solo mano de obra: $9,245 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLÓN ALFA LISO 15X15 | unidad: m² | precio: $13,093 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLÓN LISO MATIZADO | unidad: m² | precio: $21,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLÓN ALFA LISO 30 X 30 | unidad: m² | precio: $18,290 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Tapón Liso Pvc Presión 2"" — mejor precio real: SUMINISTROS E INGENIERIA MASECA SAS | unidad: und | precio: $1,864 COP | región: Bogotá, D. C. | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 63 proveedores mipyme reales de todo el país (rango $1,864–$61,020 COP sin IVA)', 'TABLON CATIVO 3 M | unidad: m | precio: $1,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLON CATIVO 3 M | unidad: m | precio: $1,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLON CATIVO 0.30 | unidad: m | precio: $2,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","El precio del tablón liso 33x33 es de $31,616 COP por m². Esta información proviene del Catálogo Construdata (Barranquilla) y fue actualizada el 2026-08-08.",El tablón liso 33x33 cuesta $31.616 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.8693992446219553,0.9999999999,1.0
Cuanto vale instalar teja transparente numero 6?,"['TEJA TRANSPARENTE NO.6 | unidad: m² | precio: $27,477 COP | solo mano de obra: $4,895 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 HERRAMIENTA MENOR | unidad: % | precio: $54 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 MORTERO 1:3 IMPERMEABILIZADO | unidad: m³ | precio: $492,800 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TUBO COBRE TIPO L 1/2"" m 0.44 6,136 6,136 6,136 6,136 HERRAMIENTA MENOR | unidad: % | precio: $36 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HERRAMIENTA MENOR % 10.00 6,492 6,492 6,492 6,492 BARRA CORRUGADA G-60 3/8"" (6M) | unidad: un | precio: $8,633 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA CC - PRESTACIONES hc 0.16 6,000 6,000 6,000 6,000 DISTANCIADOR CM-20 6.5MM-5/8"" | unidad: un | precio: $285 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 CINTA TEFLÓN GAS X 10M | unidad: m | precio: $1,000 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 HORA CUADRILLA BB - PRESTACIONES | unidad: hc | precio: $20,470 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","Instalar teja transparente No. 6 tiene un costo total de $27,477 COP por m², según el Catálogo Construdata de Barranquilla, con fecha del 2026-08-08. Si solo consideras la mano de obra, el precio es de $4,895 COP por m².",Instalar teja transparente No. 6 cuesta $27.477 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.872758938899426,0.99999999995,1.0
Que precio tiene el zocalo en marmol travertino de 7.3 cm?,"['ZOCALO MARMOL TRAVERTINO 7.3CM | unidad: m | precio: $10,880 COP | solo mano de obra: $8,702 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ZOCALO MARMOL NEGRO 7.3CM | unidad: m | precio: $9,676 COP | solo mano de obra: $8,702 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Ladrillo Tipo H10 En Arcilla, Dimensiones: 10 Cm X 20 Cm X 30 Cm — mejor precio real: FERCONLOG S.A.S | unidad: und | precio: $1,046 COP | región: Bogotá, D. C. | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 66 proveedores mipyme reales de todo el país (rango $1,046–$76,496 COP sin IVA)', 'Ladrillo Para Fachada En Arcilla, Farol 6 Huecos Rayado 30 Cm X 10 Cm X 20 Cm 15U/M2 5 Kilos — mejor precio real: LUIS ALVARO GOMEZ LOPEZ (FERREMATERIALES EL TRIUNFO) | unidad: und | precio: $1,500 COP | región: Nacional | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 65 proveedores mipyme reales de todo el país (rango $1,500–$76,496 COP sin IVA)', 'MARMOL TRAVERTINO ROMANO | unidad: m² | precio: $344,964 COP | solo mano de obra: $14,140 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'MÁRMOL TRAVERTINO BRILLADO 20MM | unidad: m² | precio: $476,000 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ZÓCALO MÁRMOL TRAVESAÑO PERUANO CLARO | unidad: m² | precio: $11,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Apoyo elástomérico para puentes tipo 3, reforzado con acero o tela, dureza 60. (alto: 25-35cm, lados:35-70cm) | precio: $1,003,003 COP | región: Centro Oriente | fuente: INVIAS — precios de referencia regionalizados | fecha: 2026-08-08']","El zócalo en mármol travertino de 7.3 cm tiene un precio de $10,880 COP por metro (m) y el costo solo de mano de obra es de $8,702 COP. Esta información proviene del Catálogo Construdata (Barranquilla) y fue actualizada el 2026-08-08.",El zócalo en mármol travertino de 7.3 cm cuesta $10.880 COP por metro lineal en Barranquilla (Catálogo Construdata).,1.0,0.9708573237874593,0.9999999999,1.0
Cuanto cuesta el pasamanos de escalera .15x.02?,"['PASAMANOS ESCAL. .15X.02 | unidad: m | precio: $26,658 COP | solo mano de obra: $13,052 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PASAMANOS FLORM. 15X.02 | unidad: m | precio: $29,144 COP | solo mano de obra: $13,052 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ESCALERA DE GATO | unidad: m | precio: $117,875 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ESCALERA DE GATO | unidad: m | precio: $94,799 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PASOS ESCALERA VINILO | unidad: un | precio: $13,101 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PASOS ESCALERA VINILO | unidad: un | precio: $12,719 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HUELLA DE ESCALERA EN PVC 30CM | unidad: m | precio: $36,669 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'CONTRAHUELLA DE ESCALERA EN PVC 20CM | unidad: m | precio: $19,222 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","El pasamanos de escalera .15x.02 cuesta $26,658 COP por metro, según el Catálogo Construdata de Barranquilla, con fecha del 2026-08-08.",El pasamanos de escalera .15x.02 cuesta $26.658 COP por metro lineal en Barranquilla (Catálogo Construdata).,1.0,0.9488796505507493,0.699999999965,1.0
Cual es el precio de una valvula de bola para medidor?,"['VALVULA DE BOLA PARA MEDIDOR | unidad: un | precio: $12,418 COP | solo mano de obra: $1,555 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'VÁLVULA DE BOLA PARA MEDIDOR | unidad: un | precio: $10,092 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'VÁLVULA DE BOLA PARA MEDIDOR | unidad: un | precio: $10,092 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'VÁLVULA DE BOLA PARA MEDIDOR | unidad: un | precio: $10,092 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Reposición de Medidor de 2"" con valvula | unidad: un | precio: $84,793 COP | región: Barranquilla | fuente: Contrato real ejecutado — redes de acueducto/alcantarillado (Atlántico) | fecha: 2026-08-08', 'Valvula De Bola En Pvc 2” — mejor precio real: LUIS ALVARO GOMEZ LOPEZ (FERREMATERIALES EL TRIUNFO) | unidad: und | precio: $19,000 COP | región: Nacional | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 63 proveedores mipyme reales de todo el país (rango $19,000–$12,198,051 COP sin IVA)', 'VALVULA DE BOLA 1/2” HNPT | unidad: un | precio: $12,519 COP | solo mano de obra: $1,555 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Reposición de Medidor de 3"" con Válvula | unidad: un | precio: $113,036 COP | región: Barranquilla | fuente: Contrato real ejecutado — redes de acueducto/alcantarillado (Atlántico) | fecha: 2026-08-08']","El precio de una válvula de bola para medidor en Barranquilla es de $10,092 COP según el Catálogo Construdata (Barranquilla) del 2026-08-08. También hay otra opción que cuesta $12,418 COP, que incluye solo mano de obra de $1,555 COP.",La válvula de bola para medidor cuesta $12.418 COP por unidad en Barranquilla (Catálogo Construdata).,1.0,0.942215566181878,0.6428571428357143,1.0
