user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Cuanto cuesta el cielo raso duracustic en Barranquilla?,"['CIELO RASO DURACUSTIC | unidad: m² | precio: $33,183 COP | solo mano de obra: $11,965 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA BB (1.0 hc): $11,965 COP; Material: FIBERGLASS DURACUSTIC 5/8” (1.0 lm): $11,240 COP, SUB-CONTRATO INSTALACION (43.0 %): $232 COP', 'CIELORRASO DURACUSTIC 2\'X4\'X5/8"" SW | unidad: lm | precio: $22,120 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'A.C.P.M. BARRANQUILLA | unidad: gl | precio: $3,732 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'CIELO RASO ALUZINC ACUSTICO 130B | unidad: m² | precio: $79,386 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Suministro e instalación de cielo raso en asbesto cemento | unidad: m2 | precio: $36,944 COP | región: Barranquilla | fuente: Contrato real ejecutado — redes de acueducto/alcantarillado (Atlántico) | fecha: 2026-08-08', 'CIELORRASO EN TABLILLAS PVC | unidad: m² | precio: $557,340 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'CIELORRASO EN TABLILLAS PVC | unidad: m² | precio: $69,342 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Suministro e instalación de cielo raso en asbesto cemento, incluye molduras. | unidad: m2 | precio: $41,031 COP | región: Puerto Colombia | fuente: Contrato real ejecutado — vía urbana Puerto Colombia (catálogo 2017-2019) | fecha: 2026-08-08']","El cielo raso Duracustic en Barranquilla cuesta $33,183 COP por m², según el Catálogo Construdata (Barranquilla) del 2026-08-08. Si necesitas el desglose, la mano de obra es $11,965 COP, el material (Fiberglass Duracustic 5/8”) cuesta $11,240 COP, y el sub-contrato de instalación es $232 COP.",El cielo raso Duracustic cuesta $33.183 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.9682947878091294,0.99999999995,1.0
Cual es el precio de entrepisos placalista?,"['ENTREPISOS PLACALISTA | unidad: m² | precio: $50,575 COP | solo mano de obra: $7,288 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA AA (0.67 hc): $10,878 COP; Material: CONCRETO CORRIENTE 2500 PSI (0.03 m³): $256,133 COP, PLACA LISTA MURO ESTRUCTURAL (1.03 m²): $34,567 COP', 'ENTREPISOS VIGUETA PLACA | unidad: m² | precio: $44,360 COP | solo mano de obra: $11,638 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PLACA LISTA MURO ESTRUCTURAL | unidad: m² | precio: $34,567 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PLACA EN CONCRETO 3000 PSI 10CM MALLA ELECT. ENTREPISO | unidad: m² | precio: $83,906 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Piezas de conexion metalicas galvanizadas entre placas | precio: $110,125 COP | región: Centro Oriente | fuente: INVIAS — precios de referencia regionalizados | fecha: 2026-08-08', 'PLACA EN BLOQUE ALIGERADO DE CONCRETO | unidad: m² | precio: $113,644 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PLACA ALIGERADA CON CASETÓN DE GUADUA | unidad: m² | precio: $142,102 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'DEMOLICIÓN PLACAS PISO | unidad: m² | precio: $49,432 COP | solo mano de obra: $10,877 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","El precio de los entrepisos placalista es de $50,575 COP por m². Si solo consideras la mano de obra, el costo es de $7,288 COP por m². Esta información proviene del Catálogo Construdata (Barranquilla) y fue actualizada el 2026-08-08.",Los entrepisos Placalista cuestan $50.575 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.9387920290360948,0.8333333332916666,1.0
Cuanto vale el relleno con gravilla de rio en Barranquilla?,"['RELLENO GRAVILLA DE RIO | unidad: m³ | precio: $51,557 COP | solo mano de obra: $6,526 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Equipo: VIBROCOMPACTADOR A GASOLINA (0.04 d): $38,275 COP; Mano de obra: MANO DE OBRA AA (0.6 hc): $10,877 COP; Material: GRAVA CANTO RODADO 1/2 (1.0 m³): $43,500 COP, GRAVILLA DE RIO (1.0 m³): $0 COP, GRAVILLA FINA 1/2” Y 3/4” (1.0 m³): $0 COP', 'Gravilla De Rio — mejor precio real: JEM SUPPLIES SAS | unidad: m3 | precio: $53,933 COP | región: Bogotá, Distrito Capital De Bogotá | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 63 proveedores mipyme reales de todo el país (rango $53,933–$1,395,615 COP sin IVA)', 'GRAVILLA DE RIO | unidad: m³ | precio: $0 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Gravilla Lavada De Rio M3: Piedra De Rio Natural, Más Resistente Al Desgaste — mejor precio real: SUMINISTROS E INGENIERIA MASECA SAS | unidad: m3 | precio: $38,944 COP | región: Bogotá, D. C. | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 61 proveedores mipyme reales de todo el país (rango $38,944–$1,395,615 COP sin IVA)', 'RELLENOS GRAVILLA FINA | unidad: m³ | precio: $79,345 COP | solo mano de obra: $7,614 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'MASILLA DE RELLENO | unidad: m² | precio: $34,437 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Relleno de Sub-base granular al 95% del P.M. | unidad: m3 | precio: $86,239 COP | región: Puerto Colombia | fuente: Contrato real ejecutado — vía urbana Puerto Colombia (catálogo 2017-2019) | fecha: 2026-08-08', 'Relleno de Sub-base granular al 95% del P.M. | unidad: m3 | precio: $75,821 COP | región: Puerto Colombia | fuente: Contrato real ejecutado — demoliciones y pavimentos, Puerto Colombia (2016) | fecha: 2026-08-08']","El precio del relleno con gravilla de río en Barranquilla es de $51,557 COP por m³, según el Catálogo Construdata (Barranquilla) del 2026-08-08. Además, hay un precio de $0 COP por m³ también registrado en la misma fuente y fecha.",El relleno con gravilla de río cuesta $51.557 COP por m³ en Barranquilla (Catálogo Construdata).,1.0,0.9049931840800588,0.9999999999,1.0
Que precio tiene la pulida y lacada de piso de madera?,"['PULIDA LACADA PISO MADERA | unidad: m² | precio: $35,367 COP | solo mano de obra: $26,680 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA PULIDA / LACADA PISO MADERA (1.0 m²): $26,680 COP; Material: BARNIZ VITRIFLEX (0.1 gl): $86,870 COP', 'MANO DE OBRA PULIDA / LACADA PISO MADERA | unidad: m² | precio: $26,680 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'LACA PISOS MADERA | unidad: m² | precio: $24,948 COP | solo mano de obra: $16,636 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'LACA PISOS MADERA | unidad: m² | precio: $3,378 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Laca Para Madera — mejor precio real: MANTENIMIENTO Y MONTAJES DE INGENIERIA SAS | unidad: gal | precio: $23,000 COP | región: Bogotá, Distrito Capital De Bogotá | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 65 proveedores mipyme reales de todo el país (rango $23,000–$1,060,016 COP sin IVA)', 'Inmunizante y preservante de madera | precio: $12,823 COP | región: Centro Oriente | fuente: INVIAS — precios de referencia regionalizados | fecha: 2026-08-08', 'PIRLANES DE MADERA .10 | unidad: m | precio: $19,486 COP | solo mano de obra: $12,008 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Tornillos De Rosca Para Madera 1/2 Pugada — mejor precio real: ANGEL RAFAEL RINCON MARIÑO (FERRETERIA NICHOLSON) | unidad: und | precio: $20 COP | región: Bogotá, D. C. | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 62 proveedores mipyme reales de todo el país (rango $20–$88,140 COP sin IVA)']","El precio de la pulida y lacada de piso de madera es de $35,367 COP por m², según el Catálogo Construdata (Barranquilla) del 2026-08-08. La mano de obra específica para esta actividad es de $26,680 COP por m².",La pulida lacada de piso de madera cuesta $35.367 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.8828335940949793,0.999999999975,1.0
Cuanto cuesta aplicar anticorrosivo sobre lamina llena?,"['ANTICORROSIVO SOBRE LAMINA LLENA | unidad: m² | precio: $10,262 COP | solo mano de obra: $4,128 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA CC (0.33 hc): $12,509 COP; Material: ANTICORROSIVO ROJO CLARO (0.03 gl): $30,800 COP, DISOLVENTE THINNER (0.01 gl): $8,300 COP, PABMERIL PLIEGO 9” X 11” (1.05 un): $1,850 COP, SUB-CONTRATO PINTURA (45.0 %): $71 COP', 'ANTICORROSIVO SOBRE LÁMINA LLENA | unidad: m² | precio: $15,364 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ANTICORROSIVO SOBRE LAMINA LINEAL | unidad: m | precio: $5,703 COP | solo mano de obra: $2,377 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ANTICORROSIVO SOBRE LÁMINA LINEAL | unidad: m | precio: $8,664 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Limpieza del acero estructural, verificación y cambio del acero que se encuentre afectado por corrosión . Suministro y aplicación de aditivo con Sikatop Armatec 108. para protección del  acero instalado. La aplicación de los productos suministrados deberá realizarse conforme a las especificaciones técnicas proporcionadas por el fabricante/proveedor, quien debe indicar los controles de calidad para la ejecución de los trabajos y certificar al personal encargado de la aplicación. | unidad: kg | precio: $6,000 COP | región: Barranquilla | fuente: Contrato real ejecutado — planta de tratamiento de agua potable, optimización ETAP (Atlántico) | fecha: 2026-08-09', 'Impermeabilización de paredes internas mediante aplicación de mortero 1:4 impermeabilizado(Sika 1 o equivalente), mezclado con fibra macro sintéticas de polipropileno  tipo SikaFiber AD (o equivalente)  y aditivo acelerante de Fraguado tipo Sikaset L (o equivalente), e= 2 cm. La aplicación de los productos suministrados deberá realizarse conforme a las especificaciones técnicas proporcionadas por el fabricante/proveedor, quien debe indicar los controles de calidad para la ejecución de los trabajos y certificar al personal encargado de la aplicación. | unidad: m2 | precio: $15,500 COP | región: Barranquilla | fuente: Contrato real ejecutado — planta de tratamiento de agua potable, optimización ETAP (Atlántico) | fecha: 2026-08-09', 'Suministro y aplicación de acelerante de fraguado ultrarrápido para taponamiento de filtraciones con presión de agua tipo Sika®-2 (o equivalente) de hasta 10 mm. La aplicación de los productos suministrados deberá realizarse conforme a las especificaciones técnicas proporcionadas por el fabricante/proveedor, quien debe indicar los controles de calidad para la ejecución de los trabajos y certificar al personal encargado de la aplicación. | unidad: m | precio: $12,000 COP | región: Barranquilla | fuente: Contrato real ejecutado — planta de tratamiento de agua potable, optimización ETAP (Atlántico) | fecha: 2026-08-09', 'Suministro y aplicación de productos para el sellado y la impermeabilización elástica de junta de dilatación de 1mm a 10mm tipo SikaFlex-1A Plus Purform (o equivalente). La aplicación de los productos suministrados deberá realizarse conforme a las especificaciones técnicas proporcionadas por el fabricante/proveedor, quien debe indicar los controles de calidad para la ejecución de los trabajos y certificar al personal encargado de la aplicación. | unidad: m | precio: $13,000 COP | región: Barranquilla | fuente: Contrato real ejecutado — planta de tratamiento de agua potable, optimización ETAP (Atlántico) | fecha: 2026-08-09']","El precio para aplicar anticorrosivo sobre lámina llena en Barranquilla es de $10,262 COP por m², según el Catálogo Construdata (Barranquilla) del 2026-08-08. También hay otra opción con un precio de $15,364 COP por m², de la misma fuente y fecha. 

Si necesitas un desglose, la mano de obra para la primera opción es de $4,128 COP por m².",Aplicar anticorrosivo sobre lámina llena cuesta $10.262 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.8903917264193537,0.999999999975,1.0
Cual es el precio del tablon liso 33x33?,"['TABLON LISO 33X33 | unidad: m² | precio: $31,616 COP | solo mano de obra: $9,245 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA AA (0.85 hc): $10,876 COP; Material: AGUA (6.48 lt): $12 COP, ARENA DE REVOQUE (0.04 m³): $0 COP, ARENA FINA (0.04 m³): $0 COP, ARENA LAVADA DE PEÑA (0.04 m³): $0 COP, ARENA LAVADA JUAN DE ACOSTA (0.04 m³): $24,500 COP, CEMENTO GRIS (9.41 kg): $224 COP, TABLÓN ALFA LISO 30 X 30 (1.05 m²): $18,290 COP', 'TABLÓN LISO MATIZADO | unidad: m² | precio: $21,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLÓN ALFA LISO 30 X 30 | unidad: m² | precio: $18,290 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLÓN ALFA LISO 15X15 | unidad: m² | precio: $13,093 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Tapón Liso Pvc Presión 2"" — mejor precio real: SUMINISTROS E INGENIERIA MASECA SAS | unidad: und | precio: $1,864 COP | región: Bogotá, D. C. | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 63 proveedores mipyme reales de todo el país (rango $1,864–$61,020 COP sin IVA)', 'TABLON CATIVO 3 M | unidad: m | precio: $1,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLON CATIVO 0.30 | unidad: m | precio: $2,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'TABLON CEIBA | unidad: un | precio: $63,000 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","El precio del tablón liso 33x33 es de $31,616 COP por m². Este dato proviene del Catálogo Construdata (Barranquilla) y fue actualizado el 2026-08-08.",El tablón liso 33x33 cuesta $31.616 COP por m² en Barranquilla (Catálogo Construdata).,1.0,0.8693992446219553,0.9999999999,1.0
Cuanto vale instalar teja transparente numero 6?,"['TEJA TRANSPARENTE NO.6 | unidad: m² | precio: $27,477 COP | solo mano de obra: $4,895 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA AA (0.45 hc): $10,878 COP; Material: GANCHO TEJA ETERNIT 55 MM (1.3 un): $259 COP, TEJA MAXILIT ONDULADA PF/7 NO. 6 (1.01 un): $22,025 COP', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 HORA CUADRILLA BB - PRESTACIONES | unidad: hc | precio: $20,470 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 MORTERO 1:3 IMPERMEABILIZADO | unidad: m³ | precio: $492,800 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HERRAMIENTA MENOR % 10.00 6,492 6,492 6,492 6,492 BARRA CORRUGADA G-60 3/8"" (6M) | unidad: un | precio: $8,633 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 CINTA TEFLÓN GAS X 10M | unidad: m | precio: $1,000 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 HERRAMIENTA MENOR | unidad: % | precio: $54 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA BB - PRESTACIONES hc 0.30 6,141 6,141 6,141 6,141 PASTA FUNDENTE (8 ONZAS) | unidad: un | precio: $8,400 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HORA CUADRILLA CC - PRESTACIONES hc 0.16 6,000 6,000 6,000 6,000 DISTANCIADOR CM-20 6.5MM-5/8"" | unidad: un | precio: $285 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","Instalar teja transparente No. 6 cuesta $27,477 COP por m², según el Catálogo Construdata (Barranquilla) del 2026-08-08. 

Desglose de costos:
- Mano de obra: $4,895 COP por m².
- Materiales:
  - Gancho teja Eternit 55 mm: $259 COP (1.3 unidades).
  - Teja Maxilit ondulada PF/7 No. 6: $22,025 COP (1.01 unidades).

Si necesitas más detalles o un desglose diferente, házmelo saber.",Instalar teja transparente No. 6 cuesta $27.477 COP por m² en Barranquilla (Catálogo Construdata).,0.7142857142857143,0.9372714779822967,0.5694444444254629,1.0
Que precio tiene el zocalo en marmol travertino de 7.3 cm?,"['ZOCALO MARMOL TRAVERTINO 7.3CM | unidad: m | precio: $10,880 COP | solo mano de obra: $8,702 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA AA (0.8 hc): $10,878 COP; Material: AGUA (0.45 lt): $11 COP, ARENA DE REVOQUE (0.01 m³): $0 COP, ARENA FINA (0.01 m³): $0 COP, ARENA LAVADA DE PEÑA (0.01 m³): $0 COP, ARENA LAVADA JUAN DE ACOSTA (0.01 m³): $24,500 COP, CEMENTO BLANCO (0.1 kg): $980 COP, CEMENTO GRIS (0.98 kg): $224 COP, ZÓCALO MÁRMOL TRAVESAÑO PERUANO CLARO (0.14 m²): $11,500 COP', 'ZOCALO MARMOL NEGRO 7.3CM | unidad: m | precio: $9,676 COP | solo mano de obra: $8,702 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Ladrillo Tipo H10 En Arcilla, Dimensiones: 10 Cm X 20 Cm X 30 Cm — mejor precio real: FERCONLOG S.A.S | unidad: und | precio: $1,046 COP | región: Bogotá, D. C. | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 66 proveedores mipyme reales de todo el país (rango $1,046–$76,496 COP sin IVA)', 'Ladrillo Para Fachada En Arcilla, Farol 6 Huecos Rayado 30 Cm X 10 Cm X 20 Cm 15U/M2 5 Kilos — mejor precio real: LUIS ALVARO GOMEZ LOPEZ (FERREMATERIALES EL TRIUNFO) | unidad: und | precio: $1,500 COP | región: Nacional | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 65 proveedores mipyme reales de todo el país (rango $1,500–$76,496 COP sin IVA)', 'MARMOL TRAVERTINO ROMANO | unidad: m² | precio: $344,964 COP | solo mano de obra: $14,140 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'MÁRMOL TRAVERTINO BRILLADO 20MM | unidad: m² | precio: $476,000 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ZÓCALO MÁRMOL TRAVESAÑO PERUANO CLARO | unidad: m² | precio: $11,500 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Suminsitro e instalacion de tubo galvanizado de 1 1/2"" cal. 14"" para instalacion de concertina, logitud de 60 a 70 centimetros, 20 cm envevido en muro y 50 cm fuera, fijado con anclajes a viga o muro, con tapon plastico asegurado con remaches, aplicacion de anticorrosivo y pintura epoxica a dos manos y acabado en esmalte color que indique la interventoria.  Se debe ubicar cuatro argollas en cada tubo para tensionar guias de la concertina, dos superiores y dos inferiores, deben ser resistentes para la funcion que van a realizar, o el proveedor debe presentar otra opcion la cual debe ser aprobada por la interventoría.  Incluye soldadura. | unidad: Und | precio: $23,000 COP | región: Barranquilla | fuente: Cotización real de proveedor — cerca de seguridad/concertina (Atlántico) | fecha: 2024-06-05']","El precio del zócalo en mármol travertino de 7.3 cm es de $10,880 COP por metro (m). La mano de obra para su instalación es de $8,702 COP. Esta información proviene del Catálogo Construdata (Barranquilla) y fue actualizada el 2026-08-08.",El zócalo en mármol travertino de 7.3 cm cuesta $10.880 COP por metro lineal en Barranquilla (Catálogo Construdata).,1.0,0.9430931620428156,0.9999999999,1.0
Cuanto cuesta el pasamanos de escalera .15x.02?,"['PASAMANOS ESCAL. .15X.02 | unidad: m | precio: $26,658 COP | solo mano de obra: $13,052 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA DD (1.0 hc): $13,052 COP; Material: CEDRO MACHO PIEZA 3.0 (0.1 un): $50,000 COP, PUNTILLA SIN CABEZA 1” (0.1 lb): $2,690 COP, SUB-CONTRATO CARPINTERIA (45.0 %): $184 COP, TORNILLO PARA MADERA 2” NO.9 (2.0 un): $32 COP', 'PASAMANOS FLORM. 15X.02 | unidad: m | precio: $29,144 COP | solo mano de obra: $13,052 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ESCALERA DE GATO | unidad: m | precio: $94,799 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'ESCALERA DE GATO | unidad: m | precio: $117,875 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PASOS ESCALERA VINILO | unidad: un | precio: $13,101 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'PASOS ESCALERA VINILO | unidad: un | precio: $12,719 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'HUELLA DE ESCALERA EN PVC 30CM | unidad: m | precio: $36,669 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'CONTRAHUELLA DE ESCALERA EN PVC 20CM | unidad: m | precio: $19,222 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08']","El pasamanos de escalera de dimensiones 0.15x0.02 cuesta $26,658 COP por metro. Este precio incluye mano de obra y materiales. La mano de obra específica es de $13,052 COP. Esta información proviene del Catálogo Construdata (Barranquilla) y fue actualizada el 8 de agosto de 2026.",El pasamanos de escalera .15x.02 cuesta $26.658 COP por metro lineal en Barranquilla (Catálogo Construdata).,0.8,0.9611566079005524,0.9999999999,1.0
Cual es el precio de una valvula de bola para medidor?,"['VALVULA DE BOLA PARA MEDIDOR | unidad: un | precio: $12,418 COP | solo mano de obra: $1,555 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08 | desglose real: Mano de obra: MANO DE OBRA BB (0.13 hc): $11,962 COP; Material: ANTICORROSIVO ROJO CLARO (0.01 gl): $30,800 COP, LOCTIGAS F/MEDIA 36 ML (0.02 un): $13,050 COP, VÁLVULA DE BOLA PARA MEDIDOR (1.02 un): $10,092 COP', 'VÁLVULA DE BOLA PARA MEDIDOR | unidad: un | precio: $10,092 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'VÁLVULA DE BOLA PARA MEDIDOR | unidad: un | precio: $10,092 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'VÁLVULA DE BOLA PARA MEDIDOR | unidad: un | precio: $10,092 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Reposición de Medidor de 2"" con valvula | unidad: un | precio: $84,793 COP | región: Barranquilla | fuente: Contrato real ejecutado — redes de acueducto/alcantarillado (Atlántico) | fecha: 2026-08-08', 'Valvula De Bola En Pvc 2” — mejor precio real: LUIS ALVARO GOMEZ LOPEZ (FERREMATERIALES EL TRIUNFO) | unidad: und | precio: $19,000 COP | región: Nacional | fuente: Catálogo IAD MIPYMES — Colombia Compra Eficiente (proveedor real con el mejor precio, de 78 proveedores mipyme nacionales) | variabilidad real de mercado: Comparado entre 63 proveedores mipyme reales de todo el país (rango $19,000–$12,198,051 COP sin IVA)', 'VALVULA DE BOLA 1/2” HNPT | unidad: un | precio: $12,519 COP | solo mano de obra: $1,555 COP | región: Barranquilla | fuente: Catálogo Construdata (Barranquilla) | fecha: 2026-08-08', 'Reposición de Medidor de 4"" con Válvula | unidad: un | precio: $169,522 COP | región: Barranquilla | fuente: Contrato real ejecutado — redes de acueducto/alcantarillado (Atlántico) | fecha: 2026-08-08']","El precio de una válvula de bola para medidor en Barranquilla es de $10,092 COP, según el Catálogo Construdata (Barranquilla) del 2026-08-08. También hay un precio total de $12,418 COP que incluye mano de obra y materiales, pero el costo solo de la válvula es el mencionado.",La válvula de bola para medidor cuesta $12.418 COP por unidad en Barranquilla (Catálogo Construdata).,1.0,0.9471682989717048,0.642857142825,1.0
